|| A: ba7c | B: ee3 || Sum: 04d63f4 | Correct: 04d63f4 || Equals: 1 ||
|| A: 58d5 | B: 8e6 || Sum: d89275e | Correct: d89275e || Equals: 1 ||
|| A: d19c | B: d33 || Sum: 081ee14 | Correct: 081ee14 || Equals: 1 ||
|| A: 04fe | B: 4ca || Sum: 017e86c | Correct: 017e86c || Equals: 1 ||
|| A: 8023 | B: e69 || Sum: 0cb485b | Correct: 0cb485b || Equals: 1 ||
|| A: b428 | B: 58c || Sum: e5b4de0 | Correct: e5b4de0 || Equals: 1 ||
|| A: 80ee | B: e2b || Sum: 0e8cbfa | Correct: 0e8cbfa || Equals: 1 ||
|| A: 5d34 | B: 904 || Sum: d7508d0 | Correct: d7508d0 || Equals: 1 ||
|| A: 4f43 | B: 674 || Sum: 1ff7c5c | Correct: 1ff7c5c || Equals: 1 ||
|| A: 329f | B: 8e1 || Sum: e9785bf | Correct: e9785bf || Equals: 1 ||
|| A: 2581 | B: 035 || Sum: 007c3b5 | Correct: 007c3b5 || Equals: 1 ||
|| A: 605e | B: be9 || Sum: e75df8e | Correct: e75df8e || Equals: 1 ||
|| A: 0964 | B: 79a || Sum: 0476228 | Correct: 0476228 || Equals: 1 ||
|| A: 0b06 | B: 65f || Sum: 0463b3a | Correct: 0463b3a || Equals: 1 ||
|| A: 1fbc | B: 71f || Sum: 0e1fbc4 | Correct: 0e1fbc4 || Equals: 1 ||
|| A: 2234 | B: b48 || Sum: f5e9aa0 | Correct: f5e9aa0 || Equals: 1 ||
|| A: 0b6a | B: ab5 || Sum: fc395f2 | Correct: fc395f2 || Equals: 1 ||
|| A: b08c | B: b85 || Sum: 163fcbc | Correct: 163fcbc || Equals: 1 ||
|| A: 7d52 | B: e54 || Sum: f2e7ae8 | Correct: f2e7ae8 || Equals: 1 ||
|| A: 83ae | B: 367 || Sum: e590502 | Correct: e590502 || Equals: 1 ||
|| A: 2304 | B: 81e || Sum: eebfa78 | Correct: eebfa78 || Equals: 1 ||
|| A: 7701 | B: 596 || Sum: 298bf96 | Correct: 298bf96 || Equals: 1 ||
|| A: f1a0 | B: 840 || Sum: 06f6800 | Correct: 06f6800 || Equals: 1 ||
|| A: b962 | B: 62c || Sum: e4c28d8 | Correct: e4c28d8 || Equals: 1 ||
|| A: 822c | B: 500 || Sum: d8adc00 | Correct: d8adc00 || Equals: 1 ||
|| A: 1e92 | B: 3af || Sum: 0709bce | Correct: 0709bce || Equals: 1 ||
|| A: 6a69 | B: 6b2 || Sum: 2c87302 | Correct: 2c87302 || Equals: 1 ||
|| A: 4410 | B: 6aa || Sum: 1c592a0 | Correct: 1c592a0 || Equals: 1 ||
|| A: 54ca | B: f90 || Sum: fdae7a0 | Correct: fdae7a0 || Equals: 1 ||
|| A: 5840 | B: 478 || Sum: 18a5e00 | Correct: 18a5e00 || Equals: 1 ||
|| A: 1cf6 | B: ec9 || Sum: fdcd126 | Correct: fdcd126 || Equals: 1 ||
|| A: be84 | B: 820 || Sum: 203b080 | Correct: 203b080 || Equals: 1 ||
|| A: 6e2a | B: a3b || Sum: d8467ae | Correct: d8467ae || Equals: 1 ||
|| A: 21eb | B: 5ab || Sum: 0c03ef9 | Correct: 0c03ef9 || Equals: 1 ||
|| A: d974 | B: 624 || Sum: f134c50 | Correct: f134c50 || Equals: 1 ||
|| A: ba5e | B: f06 || Sum: 0440034 | Correct: 0440034 || Equals: 1 ||
|| A: 9d2a | B: 33a || Sum: ec11984 | Correct: ec11984 || Equals: 1 ||
|| A: b12a | B: 956 || Sum: 20d5e1c | Correct: 20d5e1c || Equals: 1 ||
|| A: 1994 | B: 8f0 || Sum: f4b5ac0 | Correct: f4b5ac0 || Equals: 1 ||
|| A: 4145 | B: 8c8 || Sum: e28d5e8 | Correct: e28d5e8 || Equals: 1 ||
|| A: 1553 | B: 3f2 || Sum: 0542176 | Correct: 0542176 || Equals: 1 ||
|| A: 5d43 | B: fd7 || Sum: ff11045 | Correct: ff11045 || Equals: 1 ||
|| A: 417e | B: 33d || Sum: 0d41506 | Correct: 0d41506 || Equals: 1 ||
|| A: 26ad | B: 593 || Sum: 0d79657 | Correct: 0d79657 || Equals: 1 ||
|| A: 265a | B: 8bd || Sum: ee98072 | Correct: ee98072 || Equals: 1 ||
|| A: 01f8 | B: a8a || Sum: ff53fb0 | Correct: ff53fb0 || Equals: 1 ||
|| A: a8bb | B: bda || Sum: 16a083e | Correct: 16a083e || Equals: 1 ||
|| A: 4be2 | B: d56 || Sum: f35d7ec | Correct: f35d7ec || Equals: 1 ||
|| A: f6cd | B: 805 || Sum: 0496a01 | Correct: 0496a01 || Equals: 1 ||
|| A: e744 | B: 8d1 || Sum: 0b1ae84 | Correct: 0b1ae84 || Equals: 1 ||
|| A: 136e | B: a80 || Sum: f952300 | Correct: f952300 || Equals: 1 ||
|| A: 1199 | B: 569 || Sum: 05f34c1 | Correct: 05f34c1 || Equals: 1 ||
|| A: 857c | B: 108 || Sum: f81a7e0 | Correct: f81a7e0 || Equals: 1 ||
|| A: c826 | B: ca1 || Sum: 0bc47e6 | Correct: 0bc47e6 || Equals: 1 ||
|| A: 6a5b | B: e43 || Sum: f471fd1 | Correct: f471fd1 || Equals: 1 ||
|| A: f180 | B: 301 || Sum: fd47180 | Correct: fd47180 || Equals: 1 ||
|| A: f40d | B: 015 || Sum: fff0511 | Correct: fff0511 || Equals: 1 ||
|| A: 18a6 | B: 577 || Sum: 086b32a | Correct: 086b32a || Equals: 1 ||
|| A: fb4f | B: 1d2 || Sum: ff775ce | Correct: ff775ce || Equals: 1 ||
|| A: 8fe6 | B: 6e1 || Sum: cfcdd26 | Correct: cfcdd26 || Equals: 1 ||
|| A: f1c3 | B: 5a6 || Sum: faf9372 | Correct: faf9372 || Equals: 1 ||
|| A: 3ce7 | B: 034 || Sum: 00c5eec | Correct: 00c5eec || Equals: 1 ||
